Store,Country,Region,Order_Date,Item,Salesperson,List Price,Actual Price,Discount %
Osaka,Japan,APAC,07-07-2014,Refrigerator,Denise Clark,1000,510,49.00%
Chicago,USA,NA,22-02-2016,Oven,Paul Collier,500,490,2.00%
Moscow,Russia,EMEA,11-12-2017,Toaster,Zulfiqar Mirza,50,50,0.00%
Madria,Spain,EMEA,06-07-2016,Air conditioner,Philip Sutherland,700,665,5.00%
Los Angeles,USA,NA,02-08-2014,Vacuum Cleaner,Chandrakant Atkins,250,175,30.00%
Seattle,USA,NA,30-10-2016,Blender,Derek Harris,50,48,4.00%
Madria,Spain,EMEA,19-04-2016,Ceiling fan,Penelope Freeland,150,146,2.67%
Bangkok,Thailand,APAC,25-05-2015,Ceiling fan,Mary Mitchell,150,143,4.67%
Paris,France,EMEA,05-10-2015,Coffee grinder,Joanne Sayer,70,57,18.57%
Riyadh,Saudi Arabia,EMEA,07-11-2017,Blender,Victoria Sherwin,50,46,8.00%
Bogota,Columbia,LATAM,25-12-2017,Iron,Lisa Manning,30,27,10.00%
Athens,Greece,EMEA,05-04-2014,Dishwasher,Mark Lawton,500,500,0.00%
Bucharest,Romania,EMEA,07-07-2018,Dishwasher,Jacqueline Todd,500,500,0.00%
Birmingham,UK,EMEA,03-11-2018,Vacuum Cleaner,Philip Collins,250,225,10.00%
Cairo,Egypt,EMEA,05-10-2015,Iron,Basil Bain,30,26,13.33%
Bogota,Columbia,LATAM,28-01-2016,Iron,Lisa Manning,30,27,10.00%
Jerusalem,Israel,EMEA,09-12-2015,Blender,John Bond,50,34,32.00%
Tokyo,Japan,APAC,08-11-2018,Oven,Tony Milner,500,500,0.00%
Vienna,Austria,EMEA,30-04-2017,Refrigerator,Peter Thompson,1000,780,22.00%
Tijuana,Mexico,LATAM,05-03-2017,Vacuum Cleaner,Stephen Carlin,250,245,2.00%
Madria,Spain,EMEA,20-01-2017,Washing Machine,Roy Lloyd,800,784,2.00%
Kansas City,USA,NA,07-05-2018,Coffee grinder,Nick Gee,70,60,14.29%
Toronto,Canada,NA,15-10-2018,Oven,Stephen James,500,500,0.00%
Berlin,Germany,EMEA,04-09-2018,Washing Machine,Paul Mannion,800,496,38.00%
Tel Aviv,Israel,EMEA,31-08-2018,Coffee grinder,Jacob Percival,70,69,1.43%
Bangalore,India,APAC,18-08-2018,Iron,Paul Rule,30,29,3.33%
Rome,Italy,EMEA,15-06-2016,Coffee grinder,Steven Bell,70,65,7.14%
Delhi,India,APAC,05-04-2016,Microwave,Geoffrey Patel,80,78,2.50%
Shanghai,China,APAC,16-06-2015,Blender,Alen Dinan,50,39,22.00%
Ho Chi Minh City,Vietnam,APAC,15-04-2017,Iron,Rosemary Aziz,30,28,6.67%
Istanbul,Turkey,EMEA,25-06-2015,Dishwasher,Cordia Alston,500,315,37.00%
Tijuana,Mexico,LATAM,05-05-2016,Iron,Kevin McLauchlin,30,29,3.33%
Dubai,UAE,EMEA,19-05-2016,Air conditioner,Marie Whitfield,700,595,15.00%
London,UK,EMEA,26-02-2014,Oven,Philip Dewar,500,500,0.00%
Tijuana,Mexico,LATAM,26-11-2014,Vacuum Cleaner,Gillian Allnutt,250,243,2.80%
Kansas City,USA,NA,26-01-2014,Toaster,Robert Arnold,50,40,20.00%
Osaka,Japan,APAC,26-04-2015,Coffee grinder,Neil McAvoy,70,47,32.86%
Rome,Italy,EMEA,06-04-2015,Blender,Andrew Hirst,50,46,8.00%
Warsaw,Poland,EMEA,03-06-2015,Oven,Robert Brook,500,500,0.00%
Mexico City,Mexico,LATAM,25-03-2017,Microwave,Malcolm Griffith,80,77,3.75%
Dublin,Ireland,EMEA,16-01-2018,Blender,Alison Younger,50,43,14.00%
Delhi,India,APAC,07-08-2018,Ceiling fan,Steven Batty,150,143,4.67%
Bangkok,Thailand,APAC,09-06-2015,Refrigerator,John Jenkins,1000,610,39.00%
Tel Aviv,Israel,EMEA,05-06-2014,Toaster,Jacob Percival,50,41,18.00%
Chicago,USA,NA,20-06-2015,Iron,Nicholas Knight,30,29,3.33%
Berlin,Germany,EMEA,29-10-2014,Microwave,Paul Mannion,80,70,12.50%
Istanbul,Turkey,EMEA,10-12-2018,Vacuum Cleaner,David Philp,250,240,4.00%
Madria,Spain,EMEA,20-05-2018,Iron,Roy Nunes,30,28,6.67%
Delhi,India,APAC,21-01-2018,Coffee grinder,Glen Campbell,70,64,8.57%
Seattle,USA,NA,15-07-2015,Coffee grinder,Lesleyann Pope,70,51,27.14%
Sao Paolo,Brazil,LATAM,11-07-2015,Toaster,Stephen Smith,50,41,18.00%
Lima,Peru,LATAM,26-07-2018,Oven,William Lant,500,490,2.00%
Lima,Peru,LATAM,16-06-2014,Oven,Christopher Cresswell,500,490,2.00%
Santiago,Chile,LATAM,09-07-2015,Refrigerator,Ram Mathews,1000,910,9.00%
Buenos Aires,Argentina,LATAM,19-08-2016,Iron,Naeem Perry,30,28,6.67%
Warsaw,Poland,EMEA,01-02-2014,Toaster,Anthony Connolly,50,44,12.00%
Madria,Spain,EMEA,25-05-2016,Microwave,Howard Jones,80,75,6.25%
Dubai,UAE,EMEA,22-06-2015,Vacuum Cleaner,Brenda Lightfoot,250,225,10.00%
Istanbul,Turkey,EMEA,24-09-2016,Iron,Chloe Lyons,30,30,0.00%
Buenos Aires,Argentina,LATAM,21-09-2014,Vacuum Cleaner,Abdul Heywood,250,210,16.00%
Moscow,Russia,EMEA,26-04-2017,Vacuum Cleaner,Rita Hill,250,250,0.00%
Warsaw,Poland,EMEA,27-12-2017,Dishwasher,Tony Green,500,480,4.00%
Sydney,Australia,APAC,04-03-2016,Refrigerator,Armand Ahmed,1000,970,3.00%
Bucharest,Romania,EMEA,21-07-2014,Ceiling fan,Geoffrey Shiner,150,144,4.00%
Kansas City,USA,NA,26-03-2017,Air conditioner,Robert Arnold,700,637,9.00%
Jerusalem,Israel,EMEA,13-04-2016,Coffee grinder,Isla Parsons,70,63,10.00%
Jerusalem,Israel,EMEA,05-07-2018,Air conditioner,John Bond,700,672,4.00%
Shanghai,China,APAC,27-01-2015,Blender,Christopher Snape,50,42,16.00%
Prague,Czech Republic,EMEA,30-11-2018,Microwave,Stephen Nolan,80,78,2.50%
Santiago,Chile,LATAM,25-11-2017,Toaster,Julia Hurren,50,49,2.00%
New York,USA,NA,05-01-2014,Vacuum Cleaner,Simon Hirst,250,193,22.80%
Moscow,Russia,EMEA,16-02-2017,Microwave,Alexander Hillier,80,76,5.00%
Kansas City,USA,NA,23-10-2015,Air conditioner,Christina Pedley,700,672,4.00%
Amsterdam,Netherlands,EMEA,26-12-2015,Iron,Danny Grant,30,28,6.67%
Istanbul,Turkey,EMEA,08-11-2014,Microwave,Francis Hall,80,66,17.50%
Dubai,UAE,EMEA,08-06-2015,Blender,Marie Whitfield,50,48,4.00%
Amsterdam,Netherlands,EMEA,12-02-2014,Dishwasher,Alan Evora,500,370,26.00%
Kansas City,USA,NA,25-01-2016,Microwave,Xun Simms,80,72,10.00%
Birmingham,UK,EMEA,26-01-2015,Microwave,Gustavo Taiwo,80,58,27.50%
Toronto,Canada,NA,03-10-2018,Microwave,James Hammond,80,73,8.75%
Los Angeles,USA,NA,06-03-2015,Washing Machine,Colin Matthews,800,776,3.00%
Chicago,USA,NA,26-08-2018,Ceiling fan,Barry Baldwin,150,147,2.00%
Sao Paolo,Brazil,LATAM,09-01-2016,Ceiling fan,Elizabeth Holloway,150,134,10.67%
Warsaw,Poland,EMEA,15-07-2016,Iron,Anthony Connolly,30,8,73.33%
Dubai,UAE,EMEA,29-11-2014,Ceiling fan,Peter Kelly,150,135,10.00%
Santiago,Chile,LATAM,22-09-2014,Coffee grinder,Julia Hurren,70,59,15.71%
Bangalore,India,APAC,20-12-2017,Refrigerator,Paul Rule,1000,500,50.00%
Los Angeles,USA,NA,19-02-2017,Dishwasher,Christopher Kitching,500,495,1.00%
Bucharest,Romania,EMEA,16-02-2018,Toaster,Constance Tidey,50,49,2.00%
Toronto,Canada,NA,10-01-2014,Blender,Michael Patel,50,48,4.00%
Osaka,Japan,APAC,04-09-2015,Air conditioner,Tracy Stanley,700,560,20.00%
Bangalore,India,APAC,04-08-2014,Refrigerator,Stuart Sykes,1000,500,50.00%
Los Angeles,USA,NA,13-08-2018,Oven,Christopher Kitching,500,495,1.00%
Chicago,USA,NA,04-10-2016,Iron,Marie Foster,30,29,3.33%
San Fransisco,USA,NA,06-07-2014,Blender,Gary Acheampong,50,44,12.00%
Jerusalem,Israel,EMEA,03-09-2014,Refrigerator,John Bond,1000,710,29.00%
San Fransisco,USA,NA,16-04-2016,Ceiling fan,John Osborne,150,150,0.00%
Osaka,Japan,APAC,23-10-2016,Toaster,Paul Atkins,50,44,12.00%
Mexico City,Mexico,LATAM,05-03-2015,Iron,Denise Rodgers,30,24,20.00%
Santiago,Chile,LATAM,31-07-2015,Vacuum Cleaner,Julia Hurren,250,163,34.80%
Bangkok,Thailand,APAC,08-10-2018,Microwave,Arthur Moncrieff,80,78,2.50%
Dublin,Ireland,EMEA,22-07-2018,Microwave,Alison Younger,80,78,2.50%
Shanghai,China,APAC,06-06-2017,Air conditioner,Alen Dinan,700,651,7.00%
Athens,Greece,EMEA,14-07-2015,Toaster,Aidan Perrott,50,36,28.00%
Warsaw,Poland,EMEA,21-04-2014,Oven,Alexandra Wright,500,500,0.00%
Madria,Spain,EMEA,26-07-2015,Ceiling fan,Zhan Whitfield,150,140,6.67%
Vienna,Austria,EMEA,04-12-2017,Air conditioner,Daniel Henderson,700,700,0.00%
Ho Chi Minh City,Vietnam,APAC,12-04-2017,Ceiling fan,Barbara Love,150,144,4.00%
Berlin,Germany,EMEA,23-09-2017,Dishwasher,Paul Sherwin,500,465,7.00%
Kuala Lumpur,Malaysia,APAC,05-03-2016,Toaster,Ian Baker,50,50,0.00%
Bangkok,Thailand,APAC,11-03-2015,Blender,Nicole Marshall,50,49,2.00%
Seattle,USA,NA,17-08-2014,Toaster,Susan Toye,50,44,12.00%
Berlin,Germany,EMEA,21-10-2016,Oven,Paul Mannion,500,490,2.00%
Berlin,Germany,EMEA,01-07-2018,Air conditioner,Natasha Carvalho,700,623,11.00%
Kansas City,USA,NA,11-06-2014,Air conditioner,Ronnette Stocks,700,574,18.00%
Tokyo,Japan,APAC,27-01-2016,Coffee grinder,Pauline Pope,70,68,2.86%
Seoul,South Korea,APAC,26-09-2018,Coffee grinder,Roger Scott,70,69,1.43%
Santiago,Chile,LATAM,11-03-2016,Iron,Ram Mathews,30,29,3.33%
Toronto,Canada,NA,16-09-2018,Washing Machine,Alison Storey,800,696,13.00%
Istanbul,Turkey,EMEA,14-04-2016,Air conditioner,David Philp,700,602,14.00%
Kansas City,USA,NA,08-04-2014,Toaster,Douglas Davies,50,40,20.00%
Ho Chi Minh City,Vietnam,APAC,05-04-2017,Blender,Susan Passey,50,50,0.00%
Santiago,Chile,LATAM,22-11-2017,Toaster,Bruce McPhee,50,49,2.00%
Riyadh,Saudi Arabia,EMEA,19-07-2014,Dishwasher,Victoria Sherwin,500,425,15.00%
Warsaw,Poland,EMEA,21-09-2018,Oven,Alexandra Wright,500,500,0.00%
Istanbul,Turkey,EMEA,30-09-2015,Washing Machine,Bryan Mason,800,680,15.00%
Tel Aviv,Israel,EMEA,12-12-2017,Ceiling fan,Rebecca Delo,150,144,4.00%
Vienna,Austria,EMEA,06-02-2016,Refrigerator,Peter Thompson,1000,680,32.00%
Sao Paolo,Brazil,LATAM,30-12-2017,Ceiling fan,Cheryl Tubbs,150,140,6.67%
Jerusalem,Israel,EMEA,20-05-2017,Iron,Abu Moore,30,28,6.67%
Bogota,Columbia,LATAM,23-01-2014,Washing Machine,Antony Westlake,800,544,32.00%
Toronto,Canada,NA,18-03-2016,Toaster,Robin Hall,50,47,6.00%
Jerusalem,Israel,EMEA,20-07-2014,Microwave,Carole Owen,80,60,25.00%
Kuala Lumpur,Malaysia,APAC,17-06-2018,Iron,Rachel Oliver,30,26,13.33%
Kansas City,USA,NA,23-09-2016,Oven,Ronnette Stocks,500,495,1.00%
Guangzhou,China,APAC,09-05-2014,Refrigerator,Carl Snape,1000,620,38.00%
New York,USA,NA,14-03-2018,Oven,John Bull,500,490,2.00%
Athens,Greece,EMEA,11-08-2014,Iron,Charles Ali,30,21,30.00%
Guangzhou,China,APAC,28-05-2015,Iron,Wolfgang Carvalho,30,20,33.33%
Shanghai,China,APAC,19-06-2015,Refrigerator,Michelle Murray,1000,910,9.00%
Bangkok,Thailand,APAC,23-10-2016,Coffee grinder,Nicole Marshall,70,68,2.86%
Bogota,Columbia,LATAM,27-03-2016,Air conditioner,Gary Percival,700,623,11.00%
Athens,Greece,EMEA,28-02-2014,Oven,Gary Roberts,500,490,2.00%
Seoul,South Korea,APAC,04-11-2016,Toaster,Leonard Green,50,50,0.00%
Santiago,Chile,LATAM,26-06-2015,Refrigerator,Richard James,1000,790,21.00%
Sydney,Australia,APAC,19-09-2014,Ceiling fan,Christine Davies,150,144,4.00%
Bucharest,Romania,EMEA,14-07-2015,Refrigerator,Richard Rowe,1000,960,4.00%
Vienna,Austria,EMEA,17-01-2018,Dishwasher,Bryan Clement,500,445,11.00%
Bangalore,India,APAC,23-10-2018,Dishwasher,Paresh Mathews,500,435,13.00%
Capetown,South Africa,EMEA,27-08-2014,Oven,Thomas Davies,500,490,2.00%
Bogota,Columbia,LATAM,14-10-2017,Vacuum Cleaner,Ronald Curtis,250,230,8.00%
Santiago,Chile,LATAM,12-12-2015,Washing Machine,Ram Mathews,800,472,41.00%
Cairo,Egypt,EMEA,11-02-2016,Refrigerator,David Amos,1000,510,49.00%
Riyadh,Saudi Arabia,EMEA,22-09-2016,Vacuum Cleaner,Danny Brooks,250,230,8.00%
Cairo,Egypt,EMEA,01-04-2018,Blender,John Barnett,50,48,4.00%
Bangalore,India,APAC,02-03-2015,Microwave,Colin Lima,80,49,38.75%
Cairo,Egypt,EMEA,18-11-2015,Oven,Marek Kwiatkowski,500,490,2.00%
Buenos Aires,Argentina,LATAM,05-03-2018,Vacuum Cleaner,Stuart Brown,250,248,0.80%
Amsterdam,Netherlands,EMEA,27-12-2015,Refrigerator,Christopher Hurren,1000,900,10.00%
Riyadh,Saudi Arabia,EMEA,10-01-2018,Blender,Danny Brooks,50,45,10.00%
Jerusalem,Israel,EMEA,06-02-2017,Ceiling fan,Neil Tubbs,150,144,4.00%
Tokyo,Japan,APAC,11-01-2018,Oven,David Gow,500,495,1.00%
Prague,Czech Republic,EMEA,20-09-2014,Dishwasher,David Stewart,500,425,15.00%
Riyadh,Saudi Arabia,EMEA,28-06-2018,Coffee grinder,John Craig,70,60,14.29%
Toronto,Canada,NA,27-11-2014,Washing Machine,Richard Oliver,800,624,22.00%
Dubai,UAE,EMEA,01-08-2018,Toaster,Nicholas Timbrell,50,47,6.00%
Bangalore,India,APAC,06-11-2017,Iron,Francis Walsh,30,29,3.33%
Buenos Aires,Argentina,LATAM,11-12-2016,Blender,Nicola Nathan,50,50,0.00%
Dublin,Ireland,EMEA,16-09-2017,Microwave,Alison Younger,80,72,10.00%
Sao Paolo,Brazil,LATAM,01-02-2015,Refrigerator,Zoe Munday,1000,580,42.00%
Madria,Spain,EMEA,12-05-2016,Washing Machine,Paul Long,800,552,31.00%
Athens,Greece,EMEA,12-05-2015,Coffee grinder,Olivia Reynolds,70,67,4.29%
Tijuana,Mexico,LATAM,24-06-2018,Washing Machine,Gillian Allnutt,800,704,12.00%
Mexico City,Mexico,LATAM,20-05-2015,Refrigerator,Eric Walker,1000,590,41.00%
New York,USA,NA,16-05-2014,Iron,Andrew Jones,30,28,6.67%
Bogota,Columbia,LATAM,30-12-2017,Washing Machine,Basil Nolan,800,488,39.00%
Toronto,Canada,NA,15-04-2015,Ceiling fan,Richard Oliver,150,134,10.67%
Ho Chi Minh City,Vietnam,APAC,28-05-2017,Blender,Rosemary Aziz,50,50,0.00%
New York,USA,NA,31-03-2017,Refrigerator,Andrew Jones,1000,670,33.00%
Bangalore,India,APAC,16-03-2014,Ceiling fan,Stuart Sykes,150,149,0.67%
Tel Aviv,Israel,EMEA,17-09-2018,Oven,Thomas Gordon,500,500,0.00%
Tel Aviv,Israel,EMEA,22-07-2017,Ceiling fan,Thomas Gordon,150,146,2.67%
London,UK,EMEA,06-12-2018,Refrigerator,Damilola Raymond,1000,810,19.00%
